lon,lat,rate
-90.4,35.2,1.4723682e-05
-90.3,35.3,1.4705523e-05
-90.1,35.4,1.4687337e-05
-90.0,35.4,1.4687337e-05
-89.9,35.4,1.4687337e-05
-89.9,35.5,1.4669095e-05
-89.8,35.5,1.4669095e-05
-89.8,35.6,1.4650809e-05
-89.7,35.6,1.4650809e-05
-89.7,35.7,1.4632483e-05
-89.6,35.8,1.4614115e-05
-89.5,35.9,1.4595690e-05
-89.4,36.0,1.4577224e-05
-89.3,36.1,1.4558718e-05
