lon,lat,rate
-90.2,36.6,6.7577785e-06
-90.1,36.6,6.7577785e-06
-90.1,36.7,6.7490064e-06
-90.0,36.7,6.7490064e-06
-90.0,36.8,6.7402166e-06
-89.9,36.8,6.7402166e-06
-89.9,36.9,6.7314081e-06
-89.8,36.9,6.7314081e-06
-89.7,37.0,6.7225747e-06
-89.6,37.0,6.7225747e-06
-89.6,37.1,6.7137230e-06
-89.5,37.1,6.7137230e-06
-89.5,37.2,6.7048536e-06
-89.4,37.2,6.7048536e-06
-89.3,37.2,6.7048536e-06
-89.3,37.3,6.6959597e-06
